,Goods Location,Product Name,Discount Price,Product Price,Product Discount,Reviews
0,,itel P55T 6.56″ HD +Hole 4GB RAM/128GB ROM Android 14 - Gold,"₦ 115,000","₦ 159,000",,4.3 out of 5(132)
1,,"XIAOMI Redmi 13, 6.79"" 8Gb RAM / 256GB ROM (Redmi8+256) - Black","₦ 238,075","₦ 400,000",,4.5 out of 5(37)
2,,XIAOMI Redmi 14C 6.88'' 8GBRAM/256GB ROM 5G Android 14 -Midnight Black,"₦ 176,320","₦ 400,000",,4.2 out of 5(29)
3,,"Samsung Galaxy A05 6.7"" 4GB RAM/64GB ROM Android 13 - Black","₦ 121,960","₦ 150,000",,4.1 out of 5(363)
4,,"Tecno Pop 9 6.67"" 3GB RAM /64GB ROM Android 14 - Black","₦ 119,900","₦ 200,000",,4.5 out of 5(14)
5,,XIAOMI Redmi 14C 6.88'' 6GB RAM/128GB ROM Android 14 -Dreamy Purple,"₦ 157,320","₦ 350,000",,4.3 out of 5(47)
6,,"Tecno Spark 30C 6.6"" 4GB RAM/128GB ROM Android 14 - Black","₦ 156,190","₦ 200,000",,4.7 out of 5(21)
7,,"Nokia 105_African Edition, 1.77"" 4MB/4MB, 800 MAh, Dual Sim - Blue","₦ 14,400","₦ 20,000",,3.9 out of 5(311)
8,,XIAOMI Redmi 14C 6.88'' 4GB RAM/128GB ROM Android 14 -Sage Green,"₦ 139,000","₦ 300,000",,4.2 out of 5(10)
9,,itel P55 5G 6.6″ HD +Hole 6GB RAM/128GB ROM Android 13 - Blue,"₦ 125,000","₦ 277,500",,4.6 out of 5(35)
10,,"Tecno Pop 9 6.67"" 4GB RAM / 128GB ROM Android 14 - Black","₦ 142,900","₦ 200,000",,4.2 out of 5(22)
11,,"FreeYond F9,2GB+64GB,6.52"" Smartphone,4G,5000mAh,Black","₦ 96,600","₦ 139,000",,4 out of 5(298)
12,,XIAOMI Redmi 14C 6.88'' 8GB RAM/256GB ROM Android 12-Sage Green,"₦ 176,320","₦ 400,000",,4.1 out of 5(21)
13,,"Tecno Spark 30 Pro KL7 6.78"" 8GB RAM/128GB ROM Android 14 - Obsidian Edge","₦ 249,075","₦ 500,000",,4.1 out of 5(19)
14,,XIAOMI Redmi 14C 6.88'' 8GB RAM/256GB ROM Android 12-Sage Green,"₦ 176,320","₦ 450,000",,3.3 out of 5(3)
15,,"itel S23+ 6.78"" FHD 8GB RAM/256 ROM Android 12 - Blue","₦ 198,000","₦ 280,000",,4.5 out of 5(29)
16,,Realme Note 50 Dual SIM  4GB RAM 128GB 4G,"₦ 134,900","₦ 159,900",,4.5 out of 5(4)
17,,"Samsung Galaxy A06 6.7"" 4GB RAM/128GB ROM Android 14 - Light Blue","₦ 155,800","₦ 300,000",,5 out of 5(3)
18,,"Tecno Pop 9 6.67"" 3GB RAM / 128GB ROM Android 14 -White","₦ 133,300","₦ 200,000",,4.5 out of 5(10)
19,,"Samsung Galaxy A15 6.5"" 8GB RAM/256GB ROM Android 14 - Blue","₦ 305,220","₦ 380,000",,4.9 out of 5(7)
20,,"ZTE Nubia V60 Design 6GB / 256GB 6.6'' FHD+, 50MP Camera - Blue","₦ 174,230","₦ 300,000",,4.8 out of 5(23)
21,,Realme Note 50 Dual SIM  3GB RAM 64GB 4G,"₦ 116,900","₦ 139,500",,4.5 out of 5(11)
22,,"Samsung Galaxy A24 6.5"" 6GB RAM/128GB ROM Android 13  - Black + Free Backpack","₦ 316,999","₦ 350,000",,3.7 out of 5(3)
23,,"Tecno CAMON 30 6.78"" 8GB RAM/256GB ROM Android 14 - Dark","₦ 331,855","₦ 390,000",,4.6 out of 5(7)
24,,"ZTE Blade A55, 4GB RAM + 128GB ROM, 6.6” HD+, 5000mAh - Black","₦ 121,445","₦ 200,000",,3.9 out of 5(16)
25,,"Samsung Galaxy A06 6.7"" 4GB RAM/64GB ROM Android 14 - Black","₦ 144,270","₦ 200,000",,
26,,Realme Note 50 Dual SIM  4GB RAM 128GB 4G,"₦ 134,900","₦ 159,900",,4 out of 5(19)
27,,"Samsung Galaxy A06 6.7"" 4GB RAM / 64GB ROM Android 14 - Black","₦ 144,270","₦ 250,000",,4.5 out of 5(2)
28,,XIAOMI Redmi 14C 6.88'' 6GB RAM/128GB ROM Android 14 - Sage Green,"₦ 157,320","₦ 350,000",,
29,,"AGM H6 Leather Ultra-Thin Rugged Smartphone 6.6"" 16GB RAM/256GB Android 13 NFC - Black","₦ 237,150","₦ 311,039",,4.3 out of 5(44)
30,,"Poco C61 6.71"" 4GB RAM / 128GB ROM Android 14 - Black","₦ 126,600","₦ 700,000",,1 out of 5(1)
31,,Oppo A31 6GB RAM+128G ROM Refurbished Dual SIM6.5 Inch Screen HD Camera 12MP Face Unlock+Fingerprint Smartphone,"₦ 103,999","₦ 150,999",,4.1 out of 5(117)
32,,Nokia T20 10.4” 4GB RAM/64GB ROM Android 11- Ocean Blue,"₦ 169,990","₦ 200,000",,4.4 out of 5(21)
33,,"Poco C61 6.71"" 3GB RAM / 64GB ROM Android 14 - Black","₦ 110,210","₦ 700,000",,1 out of 5(1)
34,,"Tecno CAMON 30 6.78"" 8GB RAM/256GB ROM Android 14 - White","₦ 331,855","₦ 390,000",,4.7 out of 5(3)
35,,"Tecno Pop 9 6.67"" 3GB RAM / 128GB ROM Android 14 -Black","₦ 133,300","₦ 200,000",,3.7 out of 5(3)
36,,XIAOMI Redmi 14C 6.88'' 6GB RAM/128GB ROM Android 14 -Midnight Black,"₦ 157,320","₦ 250,000",,3.1 out of 5(8)
37,,"FreeYond M5,4GB+128GB,4G 6.52"" Smartphone 5000mAh,Grey","₦ 131,600","₦ 199,000",,3.8 out of 5(244)
38,,XIAOMI Redmi 14C 6.88'' 4GB RAM/128GB ROM Android 14 -Starry Blue,"₦ 139,000","₦ 500,000",,5 out of 5(1)
39,,"Tecno POVA 6 Neo 6.78"" 8GB RAM/256GB ROM Android 14 - Black","₦ 268,500","₦ 300,000",,4 out of 5(4)
40,,itel P55T 6.56″ HD +Hole 4GB RAM/128GB ROM Android 14 - Gold,"₦ 115,000","₦ 159,000",,4.3 out of 5(132)
41,,XIAOMI Redmi 14C 6.88'' 8GBRAM/256GB ROM 5G Android 14 -Midnight Black,"₦ 176,320","₦ 400,000",,4.2 out of 5(30)
42,,"Samsung Galaxy A05 6.7"" 4GB RAM/64GB ROM Android 13 - Black","₦ 121,960","₦ 150,000",,4.1 out of 5(363)
43,,"Tecno Pop 9 6.67"" 3GB RAM /64GB ROM Android 14 - Black","₦ 119,900","₦ 200,000",,4.5 out of 5(15)
44,,XIAOMI Redmi 14C 6.88'' 6GB RAM/128GB ROM Android 14 -Dreamy Purple,"₦ 157,320","₦ 350,000",,4.3 out of 5(48)
